SetA,SetB,SetC
38.92913860596441,56.97802087071567,44.28545879833354
55.01889097897275,64.1925151990961,35.80382236848559
67.7356823387774,57.22991365416699,64.76559360012817
64.55898316216596,64.92719525398617,60.737594274923396
50.817111221292365,68.8227752054243,44.94524636414354
36.56965790314529,68.63605561827681,33.89275904436002
78.38851667973574,68.0972682401963,35.338961727050226
67.02362133948506,69.43775903633397,50.380914795199
20.65890893395969,55.19406178752503,55.45782671958476
41.65438706402229,66.25793286319508,15.418696804524705
46.60858930683889,47.796997751396766,105.51686827002766
47.39731689502956,66.25439908715957,73.03482207010441
49.51463807466934,49.586687126357816,51.49709983666323
46.48522884089176,52.91131637783273,115.57493269101062
43.508131253567356,40.96117098381833,55.49418741096521
59.21640488118132,67.94484259554399,146.8728390850369
23.496081279813065,56.38679777838157,109.47928804614077
72.81187179714837,60.62922627918882,27.53229952668832
59.32729978934873,50.7815085068169,131.32476865491728
63.267696022593,46.981117296263974,115.41835363196249
53.70641608283356,66.506404839418,48.33565160916966
70.78183271929444,59.15468086054444,48.13478702252
60.936341701410505,49.54721808549455,25.98640564965531
58.70329657978767,63.9453749194964,82.92754485361799
48.66043686051361,55.50545809271896,28.49308340349183
47.628006637405505,43.5559471007986,64.2564077253764
59.26123745394107,59.962337471437266,48.90803719432694
45.25978776037995,54.722645266186994,8.186652803036424
64.6529128587971,41.612561133129326,39.25181204046625
65.99116474886216,56.14572854945299,81.51532811283798
63.71997527526047,53.74881934577608,54.43456287030163
41.70100951567244,55.376524896663234,26.927509170232028
42.850505040304526,41.989925459321825,40.255038156674125
50.017331265185625,40.80593560338007,23.153556905827593
69.94499780801843,55.571809277931976,14.61437333940138
69.26132901339602,57.07500284099659,74.36406316129656
78.0961978987572,46.33164330439541,148.62271593827268
43.101760520929886,41.869689225688575,35.05124057339491
32.570113076668434,43.33629639678418,52.166399860525445
81.48535407738876,40.979129536181055,76.04995844431896
42.85711093601597,55.34745809855578,38.6589141568889
53.629169043754445,59.43977956792217,126.66997622884634
71.36926801740125,55.708144337469385,46.107593335169945
44.8737997535107,51.37128847388033,42.45878673155295
35.93199859806253,68.95077505057787,12.57899858444597
33.71367639512238,58.00130890542442,57.76545639511718
38.35455999684912,58.24685212380103,31.654317892045274
53.465076555299014,44.64961446990088,111.38550827417814
54.48531448949016,43.66612389455309,68.01802440756532
57.74933895042465,58.81707798485752,34.337357661847435
55.651319413706545,67.8953844883541,60.43510754215552
50.564942694954475,48.83295761441096,45.29553192908796
54.45068474141023,42.67060642677592,26.618558820482328
34.56268578441768,48.39665947356084,99.33829360673869
45.77761291411678,55.537022446665155,47.11132637374157
33.94079767252828,53.1779652578597,70.50757850729096
62.16028307735279,43.91581122656575,28.030526721431496
71.7868680505789,56.88804712235476,53.85089867670304
62.6201734395046,55.92193286582917,36.273956693202855
59.936613169694276,69.39455826319158,79.78789729649085
37.5050516527069,41.4480643071887,83.49572521132654
66.03393033526912,63.2997778857619,118.94442550755691
47.11324499307333,62.755144730944124,69.98369093506903
53.56380270854152,49.22482150432147,40.9943995493504
61.58580720574994,58.69119159591794,27.58081669348229
34.60049623230423,66.47594954472987,156.36250992945247
